Direction,Date,Boarding Stop,Alighting Stop,Passengers
North,01/03/2026,Gold Coast Hwy at Thrower Drive,Unknown,6
North,01/03/2026,Johnston Street,Gold Coast Hwy at Miami North station,1
North,01/03/2026,Burleigh Heads National Park,Burleigh Heads National Park,2
North,01/03/2026,Johnston Street,Broadbeach South station,5
North,01/03/2026,Twenty Seventh Avenue,Gold Coast Hwy at Mermaid Beach South station,5
North,01/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Burleigh Heads station,13
North,01/03/2026,Gold Coast Hwy at Miami North station,"Broadbeach South station, stop A",1
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Twenty Fifth Avenue,1
North,01/03/2026,Twin Towns Services Club,Gold Coast Hwy at Fourth Avenue,1
North,01/03/2026,Twin Towns Services Club,Twenty Seventh Avenue,2
North,01/03/2026,Golden Four Dr at Tugun Beach shops,"Pacific Fair, stop A",1
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Twenty Fifth Avenue,1
North,01/03/2026,Gold Coast Hwy at Currumbin Hill,Gold Coast Hwy at Anzac Pde CLOSED,1
North,01/03/2026,Golden Four Dr at Bilinga Beach SLSC,Burleigh Heads station,1
North,01/03/2026,Wharf St at Tweed Heads,Golden Four Dr at Shell Street,1
North,01/03/2026,Burleigh Heads station,Gold Coast Hwy at Mermaid Beach South station,22
North,01/03/2026,Golden Four Dr at Bilinga Beach,Unknown,1
North,01/03/2026,Golden Four Dr at George Street,Broadbeach South station,5
North,01/03/2026,Golden Four Dr at George Street,Golden Four Dr at Tugun Beach shops,2
North,01/03/2026,Coolangatta Central,Griffith St at Coolangatta East,1
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Gold Coast Hwy at Palm Beach Police Station,1
North,01/03/2026,Musgrave St at Kirra shops,Johnston Street,1
North,01/03/2026,Golden Four Dr at George Street,Golden Four Dr at George Street,1
North,01/03/2026,Marine Pde at Kirra Beach,Unknown,5
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Fifteenth Avenue,2
North,01/03/2026,Gold Coast Hwy at Mermaid Beach South station,Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Miami Hotel CLOSED,1
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Miami Hotel,2
North,01/03/2026,Griffith St at Coolangatta East,Burleigh Heads National Park,1
North,01/03/2026,Teemangum St at Kropp Park,Broadbeach South station,1
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Twenty First Avenue,1
North,01/03/2026,Musgrave St at Kirra shops,Palm Beach,3
North,01/03/2026,Twin Towns Services Club,Golden Four Dr at North Kirra Beach,2
North,01/03/2026,Broadbeach North station,Unknown,1
North,01/03/2026,Palm Beach,Gold Coast Hwy at Miami Hotel,3
North,01/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Anzac Pde CLOSED,3
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Twenty Seventh Avenue,2
North,01/03/2026,Gold Coast Hwy at Mermaid Beach South station,Broadbeach South station,41
North,01/03/2026,"Broadbeach South station, stop C",Unknown,6
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Currumbin Wildlife Sanctuary,2
North,01/03/2026,Marine Pde at Kirra Beach,Gold Coast Hwy at Thrower Drive,1
North,01/03/2026,Gold Coast Hwy at Twenty First Avenue,Burleigh Heads National Park,2
North,01/03/2026,Twenty Seventh Avenue,Burleigh Heads Primary School,1
North,01/03/2026,Griffith St at Coolangatta East,Burleigh Heads station,4
North,01/03/2026,Golden Four Dr at George Street,Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,Johnston Street,Unknown,1
North,01/03/2026,Palm Beach,Gold Coast Hwy at Twenty Fifth Avenue,1
North,01/03/2026,Coolangatta Central,Unknown,42
North,01/03/2026,Gold Coast Hwy at Mermaid Beach station,Broadbeach South station,16
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Palm Beach,2
North,01/03/2026,Musgrave St at Kirra shops,Burleigh Heads National Park,1
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Palm Beach,1
North,01/03/2026,Gold Coast Hwy at Currumbin Hill,Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,Gold Coast Hwy at Miami Hotel,Unknown,20
North,01/03/2026,Gold Coast Hwy at Tenth Avenue,Burleigh Heads station,3
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Fourth Avenue,2
North,01/03/2026,Golden Four Dr at North Kirra Beach,Golden Four Dr at Tugun Beach shops,3
North,01/03/2026,Wharf St at Tweed Heads,Burleigh Heads station,7
North,01/03/2026,Broadbeach South station,Rio Vista Bvd near Cottesloe Dr,1
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Anzac Pde CLOSED,1
North,01/03/2026,Johnston Street,Gold Coast Hwy at Fourth Avenue,1
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Burleigh Heads station,8
North,01/03/2026,Wharf St at Tweed Heads,Marine Pde at Kirra Beach Hotel,4
North,01/03/2026,Golden Four Dr at Short Street,Golden Four Dr at Tugun Beach shops,3
North,01/03/2026,Wharf St at Tweed Heads,Golden Four Dr at Tugun Beach shops,2
North,01/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Eighth Avenue,1
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Broadbeach South station,10
North,01/03/2026,Broadbeach South station,Cottesloe Dr near University Dr,1
North,01/03/2026,"Broadbeach South station, stop C","Broadbeach South station, stop A",1
North,01/03/2026,Wharf St at Tweed Heads,Twenty Seventh Avenue,1
North,01/03/2026,Broadbeach North station,Remembrance Dr at Markwell Avenue,1
North,01/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Nobby Beach station,1
North,01/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Broadbeach South station,18
North,01/03/2026,Johnston Street,Nineteenth Avenue,2
North,01/03/2026,Palm Beach,Burleigh Heads station,5
North,01/03/2026,Musgrave St at Kirra shops,Musgrave St at Kirra shops,2
North,01/03/2026,Twin Towns Services Club,Griffith St at Coolangatta East,2
North,01/03/2026,Johnston Street,Gold Coast Hwy at Mermaid Beach South station,2
North,01/03/2026,Griffith St at Coolangatta East,Musgrave St at Kirra shops,2
North,01/03/2026,Palm Beach,Unknown,13
North,01/03/2026,Gold Coast Hwy at Twenty First Avenue,Gold Coast Hwy at Miami North station,1
North,01/03/2026,Tweed St at George St,Broadbeach South station,6
North,01/03/2026,Griffith St at Coolangatta East,Golden Four Dr at Tugun Beach shops,4
North,01/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Mermaid Beach station,6
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Currumbin Hill,2
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Miami Hotel,1
North,01/03/2026,Golden Four Dr at North Kirra Beach,Burleigh Heads station,1
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Nobby Beach station,1
North,01/03/2026,Burleigh Heads Primary School,Burleigh Heads Primary School,3
North,01/03/2026,Musgrave St at Coyne Street,Burleigh Heads station,5
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Palm Beach Police Station,2
North,01/03/2026,Twenty Seventh Avenue,Gold Coast Hwy at Anzac Pde CLOSED,1
North,01/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Tenth Avenue,1
North,01/03/2026,Wharf St at Tweed Heads,Musgrave St at Coyne Street,9
North,01/03/2026,Griffith St at Coolangatta East,Broadbeach South station,24
North,01/03/2026,Gold Coast Hwy at Twenty First Avenue,Twenty Seventh Avenue,1
North,01/03/2026,Twin Towns Services Club,Nineteenth Avenue,1
North,01/03/2026,Coolangatta Central,Teemangum St at Kropp Park,2
North,01/03/2026,Musgrave St at Kirra shops,Broadbeach South station,19
North,01/03/2026,Palm Beach,Broadbeach South station,19
North,01/03/2026,Burleigh Heads National Park,Gold Coast Hwy at Miami North station,1
North,01/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Palm Beach Police Station,1
North,01/03/2026,Palm Beach,Gold Coast Hwy at Fifteenth Avenue,2
North,01/03/2026,Surfers Paradise,Unknown,2
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Burleigh Heads National Park,1
North,01/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Fourth Avenue,3
North,01/03/2026,Nineteenth Avenue,Gold Coast Hwy at Miami North station,1
North,01/03/2026,Teemangum St at Kropp Park,Unknown,1
North,01/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Fifteenth Avenue,1
North,01/03/2026,Coolangatta Central,Gold Coast Hwy at Palm Beach Police Station,1
North,01/03/2026,Griffith St at Coolangatta East,Gold Coast Hwy at Palm Beach Police Station,3
North,01/03/2026,Gold Coast Hwy at Anzac Pde CLOSED,Unknown,14
North,01/03/2026,Coolangatta Central,Musgrave St at Coyne Street,11
North,01/03/2026,Wharf St at Tweed Heads,Wharf St at Tweed Heads,2
North,01/03/2026,Twin Towns Services Club,Gold Coast Hwy at Thrower Drive,2
North,01/03/2026,Gold Coast Hwy at Miami station,Gold Coast Hwy at Mermaid Beach station,2
North,01/03/2026,Gold Coast Hwy at Eighth Avenue,Unknown,6
North,01/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Anzac Pde CLOSED,1
North,01/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Miami Hotel,1
North,01/03/2026,Gold Coast Hwy at Miami station,Gold Coast Hwy at Miami North station,3
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Nineteenth Avenue,4
North,01/03/2026,Gold Coast Hwy at Tenth Avenue,Unknown,5
North,01/03/2026,Palm Beach,Nineteenth Avenue,6
North,01/03/2026,Golden Four Dr at Bilinga Beach,Golden Four Dr at Tugun Beach shops,4
North,01/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Miami North station,5
North,01/03/2026,Wharf St at Tweed Heads,Coolangatta Central,3
North,01/03/2026,Currumbin Wildlife Sanctuary,Nineteenth Avenue,2
North,01/03/2026,Coolangatta Central,Twenty Seventh Avenue,2
North,01/03/2026,Golden Four Dr at Shell Street,Currumbin Wildlife Sanctuary,1
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Gold Coast Hwy at Thrower Drive,1
North,01/03/2026,Gold Coast Hwy at Florida Gardens station,Queen Street station (Southport),1
North,01/03/2026,Currumbin Wildlife Sanctuary,Twenty Seventh Avenue,1
North,01/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Mermaid Beach station,1
North,01/03/2026,Coolangatta Central,Golden Four Dr at North Kirra Beach,10
North,01/03/2026,Nineteenth Avenue,Nineteenth Avenue,2
North,01/03/2026,Twin Towns Services Club,Unknown,21
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Unknown,6
